VOB;SITE;SERVIDOR;DATA_CRIACAO;DB_SCHEMA;ACL_HABILITADO;FEATURE_LEVEL;USER_OWNER;COMUNIDADE;POSSUI_GRUPO_DOMAIN_USERS;MODELO_SEGURANCA;TAMANHO;PADRAO_PASTAS;POSSUI_PASTA_MODELAGEM;LOCK_PASTA_FONTES;DESC_PASTA_FONTES;LOCK_PASTA_BUILD;DESC_PASTA_BUILD;DATA_ULTIMA_ALTERACAO_VOB;DATA_ULTIMA_ALTERACAO_FONTES;DATA_ULTIMA_ALTERACAO_BUILD
SGRI_MD;BR;CBRSVAPRNT005;2007-11-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAAC;BR;CBRSVAPRNT005;2015-07-22 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SGRI_ME;BR;CBRSVAPRNT005;2007-11-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SGRI_MO;BR;CBRSVAPRNT005;2007-11-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SGRI_MF;BR;CBRSVAPRNT005;2007-11-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SEGES_ADM;BR;CBRSVAPRNT005;2007-08-08 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SGRI_MC;BR;CBRSVAPRNT005;2007-11-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SEREF_ADM;BR;CBRSVAPRNT005;2007-11-27 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIABC;BR;CBRSVAPRNT005;2006-11-29 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAEC;BR;CBRSVAPRNT005;2009-08-26 00:00:00;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIACI_CGE;BR;CBRSVAPRNT005;2013-09-03 00:00:00;80;NAO;9;S725925;HABITACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIADE;BR;CBRSVAPRNT005;2006-11-29 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAFW;BR;CBRSVAPRNT005;2015-02-09 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIACO;BR;CBRSVAPRNT005;2006-10-23 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAEI;BR;CBRSVAPRNT005;2006-11-29 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAGR;BR;CBRSVAPRNT005;2009-01-30 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIACJ;BR;CBRSVAPRNT005;2007-11-21 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAGP;BR;CBRSVAPRNT005;2008-11-24 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIAGE;BR;CBRSVAPRNT005;2006-11-10 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIACM;BR;CBRSVAPRNT005;2017-02-09 00:00:00;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIACH;BR;CBRSVAPRNT005;2015-04-06 00:00:00;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIAFC;BR;CBRSVAPRNT005;2006-11-10 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIACT;BR;CBRSVAPRNT005;2006-11-10 00:00:00;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIAAD;BR;CBRSVAPRNT005;2007-09-04 00:00:00;80;NAO;9;S725925;INSTITUCIONAL;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIAOF;BR;CBRSVAPRNT005;2008-04-03 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SIARH;BR;CBRSVAPRNT005;2016-05-09 00:00:00;80;NAO;9;S725925;PESSOAS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIAPP;BR;CBRSVAPRNT005;2011-02-16 00:00:00;80;NAO;9;S725925;ESTRUTURANTES_TI;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIASE;BR;CBRSVAPRNT005;2006-11-30 00:00:00;80;NAO;9;S725925;SEGURANCA;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIBIN;BR;CBRSVAPRNT005;2012-08-20 00:00:00;80;NAO;9;S725925;ESTRUTURANTES_TI;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
